,Año,Trimestre,Minutos pospago salientes (miles),Minutos prepago salientes (miles),Total de minutos salientes (miles),Número de SMS salientes
0,2013,1,8.785.943,6582117,15368060,36.430.004.057
1,2013,2,9.512.689,7108640,16621329,34.255.065.773
2,2013,3,10.315.484,7335154,17650638,33.217.669.903
3,2013,4,9.809.515,6250549,16060064,22.547.130.953
4,2014,1,10.128.751,5799223,15927974,18.393.198.881
5,2014,2,10.821.463,6438071,17259534,15.877.208.560
6,2014,3,11.524.344,7179152,18703495,14.201.444.366
7,2014,4,11.997.330,7147630,19144961,12.287.624.401
8,2015,1,10.273.637,6480172,16753809,14.254.061.889
9,2015,2,11.226.576,6579819,17806395,12.732.243.852
10,2015,3,11.766.711,7198826,18965537,11.650.531.080
11,2015,4,11.905.073,7301039,19206111,10.588.029.213
12,2016,1,11.230.991,6656647,17887638,9.525.079.422
13,2016,2,11.493.027,6778732,18271759,8.390.644.680
14,2016,3,11.923.391,7077838,19001229,7.610.368.636
15,2016,4,15.960.765,6938892,22899656,7.269.739.541
16,2017,1,14.630.269,6209983,20840252,6.595.759.974
17,2017,2,15.315.167,6293563,21608730,6.313.944.821
18,2017,3,15.106.275,6308373,21414647,5.784.899.010
19,2017,4,14.164.552,5380710,19545262,5.261.403.776
20,2018,1,13.423.580,5850985,19274565,4.402.925.087
21,2018,2,14.240.217,6027374,20267591,4.447.456.352
22,2018,3,14.574.305,6108477,20682782,3.939.633.281
23,2018,4,14.915.060,6613685,21528745,3.697.690.058
24,2019,1,13.733.817,6182149,20364355,2.979.265.948
25,2019,2,13.986.048,6174603,20160651,2.827.445.823
26,2019,3,13.444.769,6819314,20264083,2.949.922.014
27,2019,4,11.828.877,6567190,18396067,2.175.994.230
28,2020,1,13.764.635,6211879,19976514,1.957.599.508
29,2020,2,14.584.356,5949100,20533456,1.941.261.096
30,2020,3,14.536.705,5696019,20232724,1.887.885.018
31,2020,4,14.421.377,5768783,20190160,1.162.624.348
32,2021,1,12.992.366,5469581,18461947,1.061.013.967
33,2021,2,13.869.978,5354043,19224021,748.701.689
34,2021,3,13.152.393,5440364,18592757,1.109.243.724
35,2021,4,12.944.094,5456088,18400182,929.840.583
36,2022,1,12.741.608,3588769,16330376,909.954.575
